,City,Country,Date,Latitude,Longitude,Temperature,Max. Temp.,Humidity,Cloudiness,Wind Speed
106,Sitka,US,1600076597,57.05,-135.33,11.0,11.0,51,1,2.9
107,Abhar,IR,1600076598,36.15,49.22,25.81,25.81,23,0,3.25
108,Chokurdakh,RU,1600076598,70.63,147.92,8.62,8.62,67,34,2.84
109,Teguise,ES,1600076598,29.06,-13.56,24.0,24.0,78,20,4.1
110,Gazojak,TM,1600076598,41.19,61.4,29.76,29.76,14,0,3.39
111,São Filipe,CV,1600076599,14.9,-24.5,26.51,26.51,76,78,2.33
112,Kaitangata,NZ,1600076599,-46.28,169.85,7.78,7.78,71,45,0.89
113,Ritchie,ZA,1600076599,-29.04,24.6,22.0,22.0,21,0,1.0
114,Ţahţā,EG,1600076600,26.77,31.5,33.62,36.0,16,0,5.7
115,Qaanaaq,GL,1600076600,77.48,-69.36,-4.9,-4.9,81,79,5.13
116,Paramonga,PE,1600076600,-10.67,-77.83,15.24,15.24,87,71,2.46
117,Pokhara,NP,1600076343,28.23,83.98,27.03,27.03,74,100,1.8
118,Cape Town,ZA,1600076601,-33.93,18.42,14.8,16.11,82,75,2.1
119,Upernavik,GL,1600076601,72.79,-56.15,-1.82,-1.82,87,77,3.41
120,Warrnambool,AU,1600076601,-38.38,142.48,9.44,9.44,85,0,4.42
121,Takoradze,GH,1600076602,4.88,-1.76,25.46,25.46,86,68,5.25
122,Clyde River,CA,1600076453,70.47,-68.59,2.0,2.0,84,90,2.05
123,Barcelos,PT,1600076602,41.54,-8.62,21.27,22.78,88,75,3.1
124,Fukuechō,JP,1600076602,32.69,128.84,24.0,24.0,78,75,2.6
125,Jamestown,US,1600076398,42.1,-79.24,13.37,13.89,87,1,3.6
126,Paamiut,GL,1600076603,61.99,-49.67,2.75,2.75,71,99,6.09
127,Yulara,AU,1600076603,-25.24,130.99,28.0,28.0,18,0,4.6
128,Lianzhou,CN,1600076603,24.78,112.38,27.61,27.61,83,79,1.41
129,Saint Paul Harbor,US,1600076411,57.79,-152.41,8.0,8.0,75,1,2.6
130,Sur,OM,1600076604,22.57,59.53,32.1,32.1,43,0,4.33
131,San Rafael del Sur,NI,1600076604,11.85,-86.44,24.32,24.32,90,99,0.69
132,Lompoc,US,1600076604,34.64,-120.46,13.19,14.0,93,90,1.5
133,Helmsdale,GB,1600076605,58.12,-3.65,16.76,17.22,77,85,3.1
134,St. George's,GD,1600076605,12.06,-61.75,28.0,28.0,83,40,4.17
135,Hobart,AU,1600076508,-42.88,147.33,10.69,11.11,53,75,9.8
136,Yeppoon,AU,1600076606,-23.13,150.73,21.0,21.0,73,0,2.6
137,Inuvik,CA,1600076606,68.35,-133.72,2.0,2.0,93,90,1.5
138,Pevek,RU,1600076607,69.7,170.31,5.3,5.3,85,92,3.58
139,Yārāda,IN,1600076607,17.65,83.27,30.0,30.0,84,40,5.1
140,Mīnāb,IR,1600076607,27.15,57.08,42.0,42.0,11,0,4.1
141,Uruçuí,BR,1600076608,-7.23,-44.56,24.6,24.6,56,81,5.4
142,Saskylakh,RU,1600076608,71.92,114.08,10.54,10.54,68,100,2.12
143,Port Alfred,ZA,1600076608,-33.59,26.89,18.6,18.6,44,3,7.93
144,Rawson,AR,1600076452,-43.3,-65.1,7.7,7.7,55,0,5.48
145,Maragogi,BR,1600076609,-9.01,-35.22,24.4,24.4,80,99,3.95
146,Biloela,AU,1600076609,-24.42,150.5,17.72,17.72,77,34,2.33
147,Kajaani,FI,1600076610,64.23,27.73,11.0,11.0,71,75,7.7
148,Danané,CI,1600076610,7.26,-8.15,26.1,26.1,81,81,1.04
149,Sehithwa,BW,1600076610,-20.47,22.72,32.83,32.83,11,0,2.42
150,Saldanha,ZA,1600076611,-33.01,17.94,15.0,15.0,56,75,5.1
151,North Battleford,CA,1600076608,52.78,-108.28,8.0,8.0,61,1,6.2
152,Naze,JP,1600076611,28.37,129.48,27.0,27.0,83,75,2.1
153,Haines Junction,CA,1600076611,60.75,-137.51,0.53,0.53,89,0,0.09
154,Mossamedes,AO,1600076612,-15.2,12.15,20.0,20.0,77,75,2.1
155,Bambous Virieux,MU,1600076612,-20.34,57.76,23.42,23.89,64,75,8.2
156,Morondava,MG,1600076613,-20.28,44.28,27.36,27.36,68,30,5.2
157,Petropavlovsk-Kamchatskiy,RU,1600076613,53.05,158.65,12.0,12.0,54,27,5.0
158,Nabire,ID,1600076613,-3.37,135.48,26.52,26.52,81,97,0.22
159,Kiryat Gat,IL,1600076464,31.61,34.76,31.07,32.78,41,0,0.89
160,Codrington,AU,1600076614,-38.27,141.97,8.48,8.48,90,0,3.45
161,Comodoro Rivadavia,AR,1600076614,-45.87,-67.5,11.0,11.0,47,59,7.2
162,Bilibino,RU,1600076615,68.05,166.44,3.79,3.79,83,100,2.18
163,Lorengau,PG,1600076616,-2.02,147.27,27.81,27.81,79,43,5.18
164,Los Llanos de Aridane,ES,1600076616,28.66,-17.92,23.0,25.0,73,20,2.6
165,Vysokogornyy,RU,1600076617,50.12,139.15,12.2,12.2,86,16,1.44
166,Boralday,KZ,1600076617,43.36,76.86,25.0,25.0,29,20,3.0
167,Louiseville,CA,1600076617,46.26,-72.94,13.05,13.33,87,75,4.1
168,Kiruna,SE,1600076618,67.86,20.23,8.0,8.0,65,73,1.5
169,Rocha,UY,1600076618,-34.48,-54.33,7.29,7.29,73,0,4.44
170,Xining,CN,1600076618,36.62,101.77,22.53,22.53,25,29,1.73
171,Khatanga,RU,1600076619,71.97,102.5,14.7,14.7,54,36,1.91
172,Adrar,MR,1600076619,20.5,-10.07,38.48,38.48,12,38,6.37
173,Maku,IR,1600076620,39.29,44.45,28.61,28.61,23,5,2.1
174,Butaritari,KI,1600076620,3.07,172.79,28.64,28.64,76,29,6.98
175,Imeni Poliny Osipenko,RU,1600076620,52.42,136.49,17.08,17.08,82,66,1.98
176,Belaya Gora,RU,1600076620,68.53,146.42,9.39,9.39,59,100,5.9
177,Saint George,US,1600076621,37.1,-113.58,21.32,23.0,15,1,2.1
178,Gaspé,CA,1600076171,48.83,-64.48,16.0,16.0,82,90,2.6
179,Te Anau,NZ,1600076621,-45.42,167.72,3.96,3.96,82,20,2.35
180,Flinders,AU,1600076621,-34.58,150.86,17.07,17.78,78,48,0.45
181,Grand Forks,US,1600076622,47.93,-97.03,3.92,7.0,86,1,2.49
182,Dargaville,NZ,1600076622,-35.93,173.88,11.84,11.84,80,72,4.16
183,Kawalu,ID,1600076623,-7.38,108.21,25.07,25.07,69,89,2.77
184,Cervo,ES,1600076623,43.67,-7.41,21.67,21.67,79,100,2.23
185,Acapulco de Juárez,MX,1600076331,16.86,-99.89,25.35,25.35,81,99,1.66
186,Portland,US,1600076555,45.52,-122.68,12.94,13.89,87,90,2.1
187,Pozo Colorado,PY,1600076624,-23.49,-58.8,23.92,23.92,75,100,5.39
188,Khandyga,RU,1600076624,62.67,135.6,9.96,9.96,70,67,3.19
189,Saint Anthony,US,1600076624,45.02,-93.22,13.87,15.0,82,75,2.6
190,Port Hardy,CA,1600076624,50.7,-127.42,13.0,13.0,100,90,1.0
191,West Bay,KY,1600076625,19.37,-81.42,28.07,28.33,78,90,4.77
192,Ancud,CL,1600076625,-41.87,-73.82,3.16,5.0,100,4,4.47
193,Margate,GB,1600076626,51.38,1.39,20.98,22.78,71,0,3.28
194,Vorotynets,RU,1600076626,56.06,45.86,13.87,13.87,67,32,6.77
195,Fort Nelson,CA,1600076626,58.81,-122.7,3.0,3.0,93,90,1.0
196,Darnah,LY,1600076626,32.77,22.64,28.66,28.66,51,0,4.46
197,Tuktoyaktuk,CA,1600076627,69.45,-133.04,3.13,3.13,93,100,10.66
198,Egvekinot,RU,1600076627,66.32,-179.17,4.25,4.25,94,100,4.63
199,Markova,UA,1600076627,48.68,24.41,21.83,22.0,60,4,1.0
200,Irtyshskiy,RU,1600076628,58.33,68.13,16.82,16.82,52,86,4.12
201,Likasi,CD,1600076628,-10.98,26.73,31.59,31.59,24,70,2.6
202,Hurricane,US,1600076628,37.18,-113.29,21.88,23.0,15,1,2.1
203,Forest Grove,US,1600076628,45.52,-123.11,12.34,13.33,93,90,1.5
204,Geraldton,AU,1600076629,-28.77,114.6,26.0,26.0,41,68,5.7
205,Marystown,CA,1600076629,47.17,-55.15,16.11,16.11,100,99,7.81
206,Tautira,PF,1600076629,-17.73,-149.15,25.0,25.0,78,0,2.6
207,Atbasar,KZ,1600076629,51.8,68.33,21.34,21.34,41,0,3.98
208,New Norfolk,AU,1600076630,-42.78,147.06,9.36,11.11,67,55,4.47
209,Ialibu,PG,1600076630,-6.28,143.99,14.34,14.34,99,88,0.76
210,Filingué,NE,1600076630,14.35,3.32,32.24,32.24,51,31,4.65
211,Āmlāgora,IN,1600076631,22.83,87.33,32.8,32.8,64,95,3.54
212,Port Macquarie,AU,1600076571,-31.43,152.92,15.3,16.11,92,0,0.83
213,Beloha,MG,1600076631,-25.17,45.05,33.45,33.45,23,0,3.45
214,Husavik,IS,1600076631,66.04,-17.34,4.0,4.0,86,75,2.6
215,Ayan,RU,1600076632,56.45,138.17,14.64,14.64,84,82,2.23
216,Westerly,US,1600076632,41.38,-71.83,19.72,21.0,88,20,3.42
217,Trairi,BR,1600076632,-3.28,-39.27,24.69,24.69,69,99,5.51
218,Tarakan,ID,1600076342,3.3,117.63,28.67,28.67,76,50,4.95
219,Norman Wells,CA,1600076633,65.28,-126.83,-2.0,-2.0,86,20,1.5
220,Sørland,NO,1600076633,67.67,12.69,10.0,10.0,87,75,7.7
221,Katsuura,JP,1600076523,35.13,140.3,24.56,25.0,83,75,4.6
222,Alofi,NU,1600076634,-19.06,-169.92,22.0,22.0,64,90,4.6
223,Altay,CN,1600076634,47.87,88.12,19.55,19.55,25,1,2.18
224,Constitución,CL,1600076635,-35.33,-72.42,7.31,7.31,68,0,4.04
225,Vestmannaeyjar,IS,1600076635,63.44,-20.27,8.0,8.0,93,20,6.2
226,Esim,GH,1600076636,4.87,-2.24,26.04,26.04,84,87,5.77
227,Ajdabiya,LY,1600076636,30.76,20.23,35.98,35.98,23,0,8.21
228,Tiksi,RU,1600076636,71.69,128.87,5.65,5.65,86,2,3.37
229,Klaksvík,FO,1600076637,62.23,-6.59,10.0,10.0,81,92,3.6
230,Japura,ID,1600076637,-0.32,102.35,29.34,29.34,74,96,1.06
231,Peruíbe,BR,1600076505,-24.32,-47.0,21.61,21.61,59,44,1.87
232,Muisne,EC,1600076637,0.6,-80.03,22.99,22.99,90,100,4.56
233,Boa Vista,BR,1600076638,2.82,-60.67,26.0,26.0,74,59,2.6
234,Buchanan,LR,1600076638,5.88,-10.05,27.0,27.0,83,75,4.24
235,Kruisfontein,ZA,1600076638,-34.0,24.73,17.17,17.17,39,6,8.47
236,Broome,US,1600076639,42.25,-75.83,13.84,15.0,87,40,3.1
237,Bathsheba,BB,1600076639,13.22,-59.52,28.0,28.0,83,75,5.1
238,Kamenka,RU,1600076639,51.32,42.77,19.38,19.38,44,39,7.6
239,Itoman,JP,1600076639,26.12,127.67,28.66,29.0,74,75,2.6
240,Mount Gambier,AU,1600076529,-37.83,140.77,9.0,9.0,81,0,3.1
241,Camacupa,AO,1600076551,-12.02,17.48,30.73,30.73,16,0,2.57
242,Port Lincoln,AU,1600076640,-34.73,135.87,12.0,12.0,82,2,4.27
243,Dodge City,US,1600076640,37.75,-100.02,14.49,15.0,87,1,2.6
244,Birao,CF,1600076641,10.28,22.79,26.45,26.45,79,88,4.09
245,Luanda,AO,1600076505,-8.84,13.23,25.0,25.0,69,75,1.0
246,Turukhansk,RU,1600076641,65.82,87.98,14.23,14.23,80,98,7.68
247,Cuamba,MZ,1600076642,-14.8,36.54,35.73,35.73,20,28,2.16
248,Quatre Cocos,MU,1600076642,-20.21,57.76,23.47,23.89,64,75,8.2
249,Gweta,BW,1600076642,-20.18,25.23,31.07,31.07,13,0,3.21
250,Kirakira,SB,1600076642,-10.45,161.92,26.53,26.53,83,25,5.03
251,Mugur-Aksy,RU,1600076643,50.35,90.5,10.79,10.79,40,0,2.41
252,Kirensk,RU,1600076643,57.79,108.11,14.76,14.76,60,47,4.19
253,Taoudenni,ML,1600076643,22.68,-3.98,43.26,43.26,8,2,3.54
254,Sabirabad,AZ,1600076644,40.01,48.48,28.0,28.0,58,20,3.1
255,Opuwo,NA,1600076644,-18.06,13.84,30.1,30.1,12,3,3.31
256,Alekseyevka,RU,1600076644,50.63,38.69,21.23,21.23,38,37,6.06
257,Tura,IN,1600076645,25.52,90.22,27.51,27.51,81,98,1.83
258,Vardø,NO,1600076645,70.37,31.11,9.0,9.0,93,75,12.3
259,Gostyń,PL,1600076645,51.88,17.01,24.76,26.67,47,83,1.5
260,Horqueta,PY,1600076645,-23.34,-57.06,23.75,23.75,61,100,4.97
261,Ginir,ET,1600076646,7.13,40.7,23.65,23.65,47,21,3.37
262,Yellowknife,CA,1600076646,62.46,-114.35,-0.62,0.56,80,20,2.1
263,Langsa,ID,1600076647,4.47,97.97,27.48,27.48,77,99,1.58
264,Märjamaa,EE,1600076647,58.9,24.43,16.67,16.67,70,21,0.45
265,Okha,RU,1600076647,53.57,142.95,13.49,13.49,89,10,3.18
266,Lerwick,GB,1600076648,60.15,-1.15,13.0,13.0,100,75,5.7
267,Denpasar,ID,1600076357,-8.65,115.22,31.0,31.0,55,20,4.6
268,Kadyy,RU,1600076648,57.79,43.19,12.11,12.11,74,100,5.44
269,Riyadh,SA,1600076428,24.69,46.72,41.0,41.0,15,1,1.5
270,Buwenge,UG,1600076649,0.64,33.17,28.75,28.75,44,15,2.08
271,Iqaluit,CA,1600076649,63.75,-68.51,3.94,4.0,80,90,4.6
272,Parczew,PL,1600076649,51.64,22.9,21.52,22.0,68,0,4.6
273,Asekeyevo,RU,1600076649,53.57,52.8,14.27,14.27,63,100,7.87
274,Kushima,JP,1600076650,31.46,131.23,25.0,25.0,78,40,3.1
275,East London,ZA,1600076650,-33.02,27.91,18.0,18.0,59,0,3.1
276,Koudougou,BF,1600076650,12.25,-2.37,27.8,27.8,66,85,3.35
277,Natitingou,BJ,1600076651,10.3,1.38,26.0,26.0,78,75,3.1
278,Alyangula,AU,1600076651,-13.85,136.42,27.0,27.0,61,86,4.1
279,Baiyin,CN,1600076651,36.56,104.21,19.0,19.0,59,40,3.0
280,Nampula,MZ,1600076651,-15.12,39.27,27.0,27.0,57,40,4.1
281,Umluj,SA,1600076652,25.02,37.27,34.66,34.66,49,0,7.49
282,Christchurch,NZ,1600076394,-43.53,172.63,12.32,12.78,66,28,4.1
283,Bachaquero,VE,1600076653,9.97,-71.15,26.87,26.87,82,99,3.68
284,Praia,CV,1600076653,14.92,-23.51,26.8,26.8,76,82,1.6
285,Bodmin,GB,1600076653,50.47,-4.72,20.0,20.0,77,45,4.1
286,Cidreira,BR,1600076653,-30.18,-50.21,16.61,16.61,91,100,6.69
287,Pemangkat,ID,1600076654,1.17,108.97,22.57,22.57,93,100,2.45
288,Turaif,SA,1600076654,31.67,38.66,37.0,37.0,20,0,4.1
289,Bazaliia,UA,1600076654,49.71,26.47,21.64,21.64,53,0,3.27
290,Fortuna,US,1600076601,40.6,-124.16,13.29,13.89,100,90,1.09
291,Tumbes,PE,1600076655,-3.57,-80.44,19.29,19.29,83,14,2.14
292,Surgut,RU,1600076655,61.25,73.42,15.0,15.0,62,40,3.0
293,Great Yarmouth,GB,1600076477,52.61,1.73,20.01,21.11,72,0,3.6
294,Mālpura,IN,1600076656,26.28,75.38,38.0,38.0,23,93,3.28
295,Touros,BR,1600076656,-5.2,-35.46,20.0,20.0,100,40,2.1
296,Wawa,NG,1600076656,9.9,4.42,24.34,24.34,84,75,1.43
297,Olafsvik,IS,1600076656,64.89,-23.71,8.13,8.13,81,89,3.15
298,Krasnosel'kup,RU,1600076657,65.7,82.47,14.76,14.76,74,97,4.47
299,Jinchang,CN,1600076657,38.5,102.17,18.53,18.53,27,90,4.52
300,São Domingos,BR,1600076657,-13.4,-46.32,20.73,20.73,61,14,5.89
301,Guarapari,BR,1600076658,-20.67,-40.5,21.06,21.11,100,75,1.0
302,Lukovetskiy,RU,1600076658,64.3,41.92,11.0,11.0,87,90,6.0
303,North Platte,US,1600076658,41.12,-100.77,15.09,15.56,71,1,3.18
304,Salekhard,RU,1600076659,66.53,66.6,8.73,8.73,90,100,7.02
305,Lakatoro,VU,1600076659,-16.1,167.42,25.0,25.0,83,75,5.46
306,Preobrazheniye,RU,1600076659,42.9,133.91,15.7,15.7,86,100,3.12
307,Nieuw Amsterdam,SR,1600076660,5.88,-55.08,25.0,25.0,95,6,2.75
308,Shingū,JP,1600076660,33.73,135.98,25.0,25.0,73,40,5.1
309,Baykit,RU,1600076660,61.67,96.37,17.45,17.45,53,5,0.63
310,Camacha,PT,1600076661,33.08,-16.33,23.0,23.0,78,40,4.1
311,Mil'kovo,RU,1600076661,54.72,158.62,4.86,4.86,75,82,1.06
312,Sinarades,GR,1600076661,39.56,19.85,31.18,33.0,33,20,3.27
313,Aiquile,BO,1600076662,-18.2,-65.18,12.92,12.92,71,13,0.91
314,Torbay,CA,1600076662,47.67,-52.73,12.82,13.89,87,75,7.2
315,Narsaq,GL,1600076663,60.92,-46.05,2.0,2.0,43,40,3.6
316,Luk Pu,CN,1600076663,23.17,112.28,30.0,30.0,99,100,1.6
317,Talnakh,RU,1600076664,69.49,88.4,13.0,13.0,82,75,6.0
318,Koumac,NC,1600076664,-20.57,164.28,21.57,21.57,80,5,2.44
319,Grindavik,IS,1600076664,63.84,-22.43,8.0,8.0,81,20,4.6
320,Natal,BR,1600076664,-5.79,-35.21,20.52,21.0,94,75,2.1
321,Luwuk,ID,1600076665,-0.95,122.79,25.48,25.48,76,49,3.82
322,Khakurinokhabl,RU,1600076666,45.02,40.23,29.85,29.85,34,0,3.42
323,Cayenne,GF,1600076666,4.93,-52.33,25.0,25.0,100,21,1.0
324,Moose Factory,CA,1600076666,51.26,-80.61,6.0,6.0,75,75,8.2
325,Tucupita,VE,1600076667,9.06,-62.05,22.94,22.94,98,2,1.15
326,Kampot,KH,1600076425,10.62,104.18,25.43,26.0,88,90,3.6
327,Champerico,GT,1600076667,14.3,-91.92,18.6,18.89,91,99,2.25
328,Lázaro Cárdenas,MX,1600076668,17.96,-102.2,25.47,25.47,90,100,1.5
329,Maputo,MZ,1600076663,-25.97,32.59,30.2,30.56,42,0,5.1
330,Tekāri,IN,1600076668,24.93,84.83,34.0,34.0,59,40,2.34
331,Seymchan,RU,1600076669,62.88,152.43,5.23,5.23,72,0,1.59
332,Horta,PT,1600076669,38.53,-28.63,20.0,20.0,72,40,10.8
333,Bowen,AU,1600076669,-20.02,148.23,21.0,21.0,83,0,5.7
334,Rabo de Peixe,PT,1600076670,37.8,-25.58,22.0,22.0,83,40,7.2
335,Manicoré,BR,1600076670,-5.81,-61.3,24.02,24.02,81,60,0.13
336,Kot Diji,PK,1600076670,27.34,68.71,41.0,41.0,38,20,4.07
